,state,account length,area code,phone number,international plan,voice mail plan,number vmail messages,total day minutes,total day calls,total day charge,total eve minutes,total eve calls,total eve charge,total night minutes,total night calls,total night charge,total intl minutes,total intl calls,total intl charge,customer service calls,churn,one day minutes,percentage of minutes,one day charge,percentage of charge,one day calls,percentage of calls
56,CO,141,415,340-5121,no,no,0,126.9,98,21.57,180.0,62,15.3,140.8,128,6.34,8.0,2,2.16,1,False,455.7,0.02310049149755412,45.370000000000005,0.022897254111021052,290,0.02851462406909585
57,CO,121,408,370-7574,no,yes,30,198.4,129,33.73,75.3,77,6.4,181.2,77,8.15,5.8,3,1.57,3,True,460.7,0.02335395311152772,49.849999999999994,0.025158212859475407,286,0.028121318909522113
58,WI,68,415,403-9733,no,no,0,148.8,70,25.3,246.5,164,20.95,129.8,103,5.84,12.1,3,3.27,3,False,537.2,0.027231915805323838,55.36000000000001,0.02793899024875745,340,0.03343093856376755
59,OK,125,408,355-7251,no,no,0,229.3,103,38.98,177.4,126,15.08,189.3,95,8.52,12.0,8,3.24,1,False,608.0,0.03082093225919005,65.82,0.03321792518376472,332,0.032644328244620074
60,ID,174,408,359-5893,no,no,0,192.1,97,32.66,169.9,94,14.44,166.6,54,7.5,11.4,4,3.08,1,False,540.0,0.027373854309149057,57.67999999999999,0.029109843886349875,249,0.02448324618346506
61,CA,116,415,405-3371,no,yes,34,268.6,83,45.66,178.2,142,15.15,166.3,106,7.48,11.6,3,3.13,2,False,624.7,0.03166749404986188,71.41999999999999,0.036044123619332666,334,0.032840980824406944
62,MN,74,510,344-5117,no,yes,33,193.7,91,32.93,246.1,96,20.92,138.0,92,6.21,14.6,3,3.94,2,False,592.4,0.03003013202359241,64.0,0.03229941069220514,282,0.027728013749948377
63,SD,149,408,332-8160,no,yes,28,180.7,92,30.72,187.8,64,15.96,265.5,53,11.95,12.6,3,3.4,3,False,646.6,0.032777655919066256,62.029999999999994,0.031305194456835696,212,0.020845173457408002
64,NC,38,408,359-4081,no,no,0,131.2,98,22.3,162.9,97,13.85,159.0,106,7.15,8.2,6,2.21,2,False,461.3,0.023384368505204554,45.51,0.022967909071910247,307,0.03018617099728423
65,WA,40,415,352-8305,no,yes,41,148.1,74,25.18,169.5,88,14.41,214.1,102,9.63,6.2,5,1.67,2,False,537.9000000000001,0.027267400431280144,50.89000000000001,0.025683078283223745,269,0.02644977198133374
66,WY,43,415,329-9847,yes,no,0,251.5,105,42.76,212.8,104,18.09,157.8,67,7.1,9.3,4,2.51,0,False,631.4,0.03200713261258651,70.46,0.035559632458949594,280,0.02753136117016151
67,MN,113,408,365-9011,yes,no,0,125.2,93,21.28,206.4,119,17.54,129.3,139,5.82,8.3,8,2.24,0,False,469.20000000000005,0.023784837855282848,46.88,0.023659318332040265,359,0.03529913807174279
68,UT,126,408,338-9472,no,no,0,211.6,70,35.97,216.9,80,18.44,153.5,60,6.91,7.8,1,2.11,1,False,589.8,0.02989833198432613,63.42999999999999,0.03201174406572768,211,0.020746847167514567
69,TX,150,510,374-8042,no,no,0,178.9,101,30.41,169.1,110,14.37,148.6,100,6.69,13.8,3,3.73,4,True,510.40000000000003,0.02587336155442533,55.199999999999996,0.027858241722026927,314,0.030874455026538263
70,NJ,138,408,359-1231,no,no,0,241.8,93,41.11,170.5,83,14.49,295.3,104,13.29,11.8,7,3.19,3,False,719.4,0.036468057018521904,72.08,0.036377211292096034,287,0.02821964519941555
71,MN,162,510,413-7170,no,yes,46,224.9,97,38.23,188.2,84,16.0,254.6,61,11.46,12.1,2,3.27,0,False,679.8000000000001,0.03446064103585098,68.96,0.03480261502085103,244,0.023991614733997888
72,NM,147,510,415-2935,no,no,0,248.6,83,42.26,148.9,85,12.66,172.5,109,7.76,8.0,4,2.16,3,False,578.0,0.029300162575348433,64.84,0.03272334045754033,281,0.027629687460054946
73,NV,90,415,399-4246,no,no,0,203.4,146,34.58,226.7,117,19.27,152.4,105,6.86,7.3,4,1.97,1,False,589.8,0.02989833198432613,62.67999999999999,0.031633235346678404,372,0.03657737984035744
74,HI,85,415,362-5889,no,no,0,235.8,109,40.09,157.2,94,13.36,188.2,99,8.47,12.0,3,3.24,0,False,593.2,0.030070685881828187,65.16,0.03288483751100135,305,0.029989518417497363
75,MN,50,415,350-8921,no,no,0,157.1,90,26.71,223.3,72,18.98,181.4,111,8.16,6.1,2,1.65,1,False,567.9,0.028788170115121758,55.49999999999999,0.02800964520964664,275,0.027039729720694343
76,DC,82,415,374-5353,no,no,0,300.3,109,51.05,181.0,100,15.39,270.1,73,12.15,11.7,4,3.16,0,True,763.1000000000001,0.038683311524651195,81.75,0.04125745037637141,286,0.028121318909522113
77,NY,144,408,360-1171,no,no,0,61.6,117,10.47,77.1,85,6.55,173.0,99,7.79,8.2,7,2.21,4,True,319.9,0.01621647406203108,27.02,0.013636407451615356,308,0.03028449728717766
78,MN,46,415,355-8887,no,no,0,214.1,72,36.4,164.4,104,13.97,177.5,113,7.99,8.2,3,2.21,2,False,564.2,0.028600608520781293,60.57,0.03056836415041977,292,0.028711276648882716
79,MD,70,408,333-1967,no,no,0,170.2,98,28.93,155.2,102,13.19,228.6,76,10.29,15.0,2,4.05,1,False,569.0,0.02884393167019595,56.459999999999994,0.02849413637002972,278,0.02733470859037464
80,WV,144,415,354-4577,no,no,0,201.1,99,34.19,303.5,74,25.8,224.0,119,10.08,13.2,2,3.56,1,False,741.8000000000001,0.03760356504912365,73.63,0.03715946264479788,294,0.028907929228669586
81,OR,116,415,331-7425,yes,no,0,215.4,104,36.62,204.8,79,17.41,278.5,109,12.53,12.6,5,3.4,3,False,711.3000000000001,0.03605744920388468,69.96000000000001,0.035307293312916745,297,0.02920290809834989
82,CO,55,408,419-2637,no,yes,25,165.6,123,28.15,136.1,95,11.57,175.7,90,7.91,11.0,2,2.97,3,False,488.4,0.02475813045294148,50.599999999999994,0.02553672157852468,310,0.030481149866964527
83,GA,70,415,411-1530,no,yes,24,249.5,101,42.42,259.7,98,22.07,222.7,68,10.02,9.8,4,2.65,1,False,741.6999999999999,0.03759849581684417,77.16000000000001,0.03894097701578982,271,0.026646424561120607
84,TX,106,510,395-3026,no,no,0,210.6,96,35.8,249.2,85,21.18,191.4,88,8.61,12.4,1,3.35,2,True,663.5999999999999,0.0336394254065765,68.94,0.034792521455009724,270,0.026548098271227172
85,VT,128,510,388-6441,no,yes,29,179.3,104,30.48,225.9,86,19.2,323.0,78,14.54,8.6,7,2.32,0,False,736.8000000000001,0.03735010343515005,66.53999999999999,0.033581293554052025,275,0.027039729720694343
86,IN,94,408,402-1251,no,no,0,157.9,105,26.84,155.0,101,13.18,189.6,84,8.53,8.0,5,2.16,4,True,510.5,0.0258784307867048,50.709999999999994,0.025592236190651915,295,0.02900625551856302
87,WV,111,510,412-9997,no,no,0,214.3,118,36.43,208.5,76,17.72,182.4,98,8.21,12.0,2,3.24,1,False,617.2,0.03128730162890148,65.6,0.03310689595951027,294,0.028907929228669586
88,KY,74,415,346-7302,no,yes,35,154.1,104,26.2,123.4,84,10.49,202.1,57,9.09,10.9,9,2.94,2,False,490.5,0.024864584330810395,48.72,0.02458792638944116,254,0.024974877632932227
89,NJ,128,415,358-9095,no,no,0,237.9,125,40.44,247.6,93,21.05,208.9,68,9.4,13.9,4,3.75,1,True,708.3,0.03590537223550051,74.64,0.037669187719784246,290,0.02851462406909585
90,DC,82,510,400-9770,no,no,0,143.9,61,24.46,194.9,105,16.57,109.6,94,4.93,11.1,2,3.0,1,False,459.5,0.02329312232417406,48.96,0.024709049179536927,262,0.0257614879520797
91,LA,155,415,334-1275,no,no,0,203.4,100,34.58,190.9,104,16.23,196.0,119,8.82,8.9,4,2.4,0,True,599.1999999999999,0.030374839818596504,62.03,0.031305194456835696,327,0.03215269679515291
92,AR,80,415,340-4953,no,no,0,124.3,100,21.13,173.0,107,14.71,253.2,62,11.39,7.9,9,2.13,1,False,558.4,0.028306593048571912,49.36000000000001,0.024910920496363217,278,0.02733470859037464
93,ME,78,415,400-9510,no,no,0,252.9,93,42.99,178.4,112,15.16,263.9,105,11.88,9.5,7,2.57,3,False,704.7,0.03572287987343952,72.6,0.0366396440039702,317,0.031169433896218568
94,AZ,90,415,387-6103,no,no,0,179.1,71,30.45,190.6,81,16.2,127.7,91,5.75,10.6,7,2.86,3,False,508.0,0.025751699979718,55.26,0.027888522419550872,250,0.02458157247335849
95,AK,104,408,366-4467,no,no,0,278.4,106,47.33,81.0,113,6.89,163.2,137,7.34,9.8,5,2.65,1,False,532.3999999999999,0.026988592655909176,64.21000000000001,0.032405393133538934,361,0.03549579065152966
96,MT,73,415,370-3450,no,no,0,160.1,110,27.22,213.3,72,18.13,174.1,72,7.83,13.0,4,3.51,0,False,560.5,0.028413046926440828,56.68999999999999,0.028610212377204826,258,0.025368182792505963
97,AZ,99,415,327-3954,no,no,0,198.2,87,33.69,207.3,76,17.62,190.9,113,8.59,8.7,3,2.35,4,False,605.1,0.03067392452308536,62.25000000000001,0.03141622368109016,279,0.02743303488026808
98,MS,120,408,355-6291,no,no,0,212.1,131,36.06,209.4,104,17.8,167.2,96,7.52,5.3,5,1.43,1,True,594.0,0.03011123974006396,62.809999999999995,0.03169884352464695,336,0.033037633404193814
99,ID,77,415,362-9748,no,no,0,251.8,72,42.81,205.7,126,17.48,275.2,109,12.38,9.8,7,2.65,2,True,742.5,0.03763904967507995,75.32000000000001,0.03801236895838892,314,0.030874455026538263
100,IA,98,510,379-6506,no,yes,21,161.2,114,27.4,252.2,83,21.44,160.2,92,7.21,4.4,8,1.19,4,False,577.9999999999999,0.029300162575348426,57.24,0.02888778543784097,297,0.02920290809834989
101,MA,108,415,347-7741,no,no,0,178.3,137,30.31,189.0,76,16.07,129.1,102,5.81,14.6,5,3.94,0,False,511.0,0.025903776948102166,56.129999999999995,0.028327592533648034,320,0.03146441276589887
102,VT,135,415,354-3783,no,no,0,151.7,82,25.79,119.0,105,10.12,180.0,100,8.1,10.5,6,2.84,0,False,461.2,0.023379299272925085,46.849999999999994,0.02364417798327829,293,0.028809602938776154
103,KY,95,408,401-7594,no,no,0,135.0,99,22.95,183.6,106,15.61,245.3,102,11.04,12.5,9,3.38,1,False,576.4000000000001,0.029219054858876888,52.980000000000004,0.02673785591364107,316,0.031071107606325133
104,IN,122,408,397-4976,no,no,0,170.5,94,28.99,173.7,109,14.76,248.6,75,11.19,11.3,2,3.05,1,False,604.0999999999999,0.030623232200290635,57.989999999999995,0.029266294156890246,280,0.02753136117016151
105,AZ,95,408,334-2577,no,no,0,238.1,65,40.48,187.2,98,15.91,190.0,115,8.55,11.8,4,3.19,4,False,627.0999999999999,0.0317891556245692,68.13,0.0343837320384365,282,0.027728013749948377
106,MI,36,510,400-3637,no,yes,29,281.4,102,47.84,202.2,76,17.19,187.2,113,8.42,9.0,6,2.43,2,False,679.8,0.034460641035850975,75.88000000000001,0.03829498880194572,297,0.02920290809834989
107,NM,93,510,383-4361,no,yes,21,117.9,131,20.04,164.5,115,13.98,217.0,86,9.76,9.8,3,2.65,1,False,509.2,0.025812530767071663,46.42999999999999,0.023432213100610694,335,0.03293930711430038
108,CO,141,415,371-4306,no,yes,32,148.6,91,25.26,131.1,97,11.14,219.4,142,9.87,10.1,1,2.73,1,False,509.20000000000005,0.02581253076707167,49.0,0.024729236311219555,331,0.03254600195472664
109,UT,157,408,403-4298,no,no,0,229.8,90,39.07,147.9,121,12.57,241.4,108,10.86,9.6,7,2.59,3,False,628.7,0.03187026334104077,65.09,0.032849510030556764,326,0.03205437050525947
110,MI,120,408,409-3786,no,no,0,165.0,100,28.05,317.2,83,26.96,119.2,86,5.36,8.3,8,2.24,1,False,609.6999999999999,0.03090710920794107,62.61000000000001,0.031597907866233815,277,0.02723638230048121
111,MA,103,415,337-4697,no,no,0,185.0,117,31.45,223.3,94,18.98,222.8,91,10.03,12.6,2,3.4,2,False,643.7,0.03263064818296157,63.86,0.032228755731315936,304,0.029891192127603924
112,AL,98,408,383-1509,no,no,0,161.0,117,27.37,190.9,113,16.23,227.7,113,10.25,12.1,4,3.27,4,False,591.6999999999999,0.029994647397636104,57.120000000000005,0.028827224042793087,347,0.03411922259302159
113,DE,125,408,359-9794,no,no,0,126.7,108,21.54,206.0,90,17.51,247.8,114,11.15,13.3,7,3.59,1,False,593.8,0.030101101275505016,53.78999999999999,0.027146645330214283,319,0.03136608647600544
114,AZ,63,415,407-7035,no,no,0,58.9,125,10.01,169.6,59,14.42,211.4,88,9.51,9.4,3,2.54,1,False,449.29999999999995,0.022776060631667906,36.48,0.018410664094556925,275,0.027039729720694343
115,ME,36,510,363-1069,yes,yes,42,196.8,89,33.46,254.9,122,21.67,138.3,126,6.22,20.0,6,5.4,0,True,610.0,0.03092231690477949,66.75,0.03368727599538583,343,0.03372591743344785
116,NJ,64,510,391-4652,no,no,0,162.6,83,27.64,152.3,109,12.95,57.5,122,2.59,14.2,3,3.83,1,False,386.59999999999997,0.019597651992438934,47.010000000000005,0.023724926510008806,317,0.031169433896218568
117,NV,74,415,355-6837,no,no,0,282.5,114,48.03,219.9,48,18.69,170.0,115,7.65,9.4,4,2.54,1,True,681.8,0.034562025681440414,76.91000000000001,0.0388148074427734,281,0.027629687460054946
118,MO,112,510,409-1244,no,yes,36,113.7,117,19.33,157.5,82,13.39,177.6,118,7.99,10.0,3,2.7,2,False,458.79999999999995,0.023257637698217752,43.410000000000004,0.021908084658572267,320,0.03146441276589887
119,ID,97,408,328-3266,no,no,0,239.8,125,40.77,214.8,111,18.26,143.3,81,6.45,8.7,5,2.35,2,False,606.6000000000001,0.030749963007277448,67.83,0.03423232855081679,322,0.03166106534568573
120,NE,46,408,352-7072,no,no,0,210.2,92,35.73,227.3,77,19.32,200.1,116,9.0,13.1,7,3.54,1,False,650.7,0.03298549444252462,67.59,0.03411120576072102,292,0.028711276648882716
121,TX,41,408,370-7550,no,yes,22,213.8,102,36.35,141.8,86,12.05,142.2,123,6.4,7.2,3,1.94,0,False,505.0,0.025599623011333842,56.74,0.02863544629180812,314,0.030874455026538263
122,MD,121,510,369-5526,no,no,0,190.7,103,32.42,183.5,117,15.6,220.8,103,9.94,9.8,4,2.65,3,False,604.8,0.03065871682624694,60.61,0.030588551282102396,327,0.03215269679515291
123,MS,193,415,329-4391,no,no,0,170.9,124,29.05,132.3,95,11.25,112.9,89,5.08,11.6,3,3.13,1,False,427.70000000000005,0.02168110645930195,48.51,0.024481943948107363,311,0.030579476156857965
124,NV,130,510,408-4195,no,no,0,154.2,119,26.21,110.2,98,9.37,227.4,117,10.23,9.2,5,2.48,2,False,500.99999999999994,0.025396853720154954,48.29,0.02437091472385291,339,0.033332612273874115
125,AZ,85,408,354-4445,no,no,0,201.4,52,34.24,229.4,104,19.5,252.5,106,11.36,12.0,3,3.24,1,False,695.3,0.03524637203916914,68.33999999999999,0.0344897144797703,265,0.026056466821760004
126,MS,162,415,335-4858,no,no,0,70.7,108,12.02,157.5,87,13.39,154.8,82,6.97,9.1,3,2.46,4,True,392.1,0.019876459767809898,34.84,0.017582991695569174,280,0.02753136117016151
127,MS,61,510,414-8718,no,yes,27,187.5,124,31.88,146.6,103,12.46,225.7,129,10.16,6.4,6,1.73,4,True,566.1999999999999,0.028701993166370728,56.23,0.028378060362854604,362,0.035594116941423094
128,TX,92,408,409-5939,no,no,0,91.7,90,15.59,193.7,123,16.46,175.0,86,7.88,9.2,4,2.48,2,False,469.59999999999997,0.023805114784400734,42.41,0.021403406366506558,303,0.029792865837710493
129,NE,131,408,331-4902,no,yes,36,214.2,115,36.41,161.7,117,13.74,264.7,102,11.91,9.5,4,2.57,3,False,650.0999999999999,0.03295507904884778,64.63,0.03261735801620653,338,0.03323428598398068
